"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
"		108",서울,2021-12-11,6,9.8,13:38,4.4,7:53,5.4
"		108",서울,2021-12-12,1.2,5.1,0:07,-3.8,23:42,8.9
"		108",서울,2021-12-13,-2.2,1.9,15:40,-5.9,6:40,7.8
"		108",서울,2021-12-14,3.7,8.2,13:49,-0.7,0:01,8.9
"		108",서울,2021-12-15,7.2,10,12:26,5.4,23:58,4.6
"		108",서울,2021-12-16,6.4,9.8,13:22,3.3,23:55,6.5
"		108",서울,2021-12-17,-5.6,3.2,0:01,-10.1,23:33,13.3
"		108",서울,2021-12-18,-5.7,-1.8,14:02,-11.2,8:01,9.4
"		108",서울,2021-12-19,-0.8,4.2,15:44,-5.8,8:11,10
"		108",서울,2021-12-20,5.2,11.1,13:36,-0.9,0:01,12
"		108",서울,2021-12-21,5.2,8.9,15:08,0.8,23:58,8.1
"		108",서울,2021-12-22,2.2,8.2,15:12,-2.6,7:17,10.8
"		108",서울,2021-12-23,2.7,8.3,14:51,-1.5,7:16,9.8
"		108",서울,2021-12-24,-0.3,3.2,11:57,-7.3,24:00:00,10.5
"		108",서울,2021-12-25,-11.7,-7.3,0:01,-14.4,22:58,7.1
"		108",서울,2021-12-26,-12.1,-7.3,15:26,-15.5,8:17,8.2
"		108",서울,2021-12-27,-7.6,-3.9,16:34,-12.9,1:23,9
"		108",서울,2021-12-28,-4.1,-0.9,16:00,-8.5,7:12,7.6
"		108",서울,2021-12-29,0.4,5.9,15:18,-3.8,1:54,9.7
"		108",서울,2021-12-30,-3.9,0.2,15:31,-6.8,7:14,7
"		108",서울,2021-12-31,-6.7,-3.9,15:10,-8.8,7:45,4.9
"		108",서울,2022-12-01,-5.4,-1.2,15:42,-9.4,7:52,8.2
"		108",서울,2022-12-02,-2.5,3,14:46,-7.6,7:59,10.6
"		108",서울,2022-12-03,2.1,7,14:31,-0.3,0:01,7.3
"		108",서울,2022-12-04,-3.5,-0.2,0:01,-5.2,24:00:00,5
"		108",서울,2022-12-05,-3.1,1.9,14:58,-7,7:55,8.9
"		108",서울,2022-12-06,0.9,5.3,14:00,-3.9,2:43,9.2
"		108",서울,2022-12-07,4.9,9,15:20,1.2,8:05,7.8
"		108",서울,2022-12-08,3.7,9.1,12:51,0.1,7:42,9
"		108",서울,2022-12-09,4.5,10.2,13:45,0.9,3:45,9.3
"		108",서울,2022-12-10,2.6,6.7,13:06,-0.6,7:58,7.3
"		108",서울,2022-12-11,1.6,6.8,14:12,-1.5,6:45,8.3
"		108",서울,2022-12-12,2,6.3,14:08,-2,3:45,8.3
"		108",서울,2022-12-13,0,3.1,2:33,-6.4,23:56,9.5
"		108",서울,2022-12-14,-8.4,-4.9,14:51,-11,7:42,6.1
"		108",서울,2022-12-15,-4.5,-1.3,17:52,-8.5,0:01,7.2
"		108",서울,2022-12-16,-6.3,-2.2,13:03,-9.6,6:35,7.4
"		108",서울,2022-12-17,-7,-3.2,12:45,-9.8,23:22,6.6
"		108",서울,2022-12-18,-9.5,-5.6,14:40,-12.4,7:40,6.8
"		108",서울,2022-12-19,-7,-2.5,14:26,-12,3:57,9.5
"		108",서울,2022-12-20,-3.2,2.9,14:40,-9.5,7:17,12.4
"		108",서울,2022-12-21,-0.1,2.6,15:59,-2.6,23:47,5.2
"		108",서울,2022-12-22,-7.8,-2.6,0:01,-11.3,23:55,8.7
"		108",서울,2022-12-23,-11.8,-8.6,15:14,-13.7,6:19,5.1
"		108",서울,2022-12-24,-8.4,-2,16:19,-13.5,7:43,11.5
"		108",서울,2022-12-25,-5.4,0.2,15:32,-9.6,6:11,9.8
"		108",서울,2022-12-26,-3.9,1.7,15:32,-7.9,7:30,9.6
"		108",서울,2022-12-27,-2.6,3.3,15:15,-7.3,7:20,10.6
"		108",서울,2022-12-28,-3.3,0.1,14:53,-6,23:55,6.1
"		108",서울,2022-12-29,-2.9,2.1,15:22,-7.8,7:28,9.9
"		108",서울,2022-12-30,-1.8,2.3,13:54,-4.4,23:55,6.7
"		108",서울,2022-12-31,-1.2,2.1,15:30,-5.1,1:25,7.2
"		108",서울,2023-12-01,-3.2,0.7,15:44,-6.8,6:46,7.5
"		108",서울,2023-12-02,2,8,15:16,-4.4,3:27,12.4
"		108",서울,2023-12-03,0.8,6,14:30,-2.8,7:00,8.8
"		108",서울,2023-12-04,2.7,9.4,15:32,-3,7:50,12.4
"		108",서울,2023-12-05,6.8,12.6,15:18,3.8,0:01,8.8
"		108",서울,2023-12-06,6.1,8.7,18:48,3.9,3:58,4.8
"		108",서울,2023-12-07,6.6,11.4,14:08,0.8,7:09,10.6
"		108",서울,2023-12-08,11.2,16.8,14:34,5.1,3:33,11.7
"		108",서울,2023-12-09,13.7,16.2,14:13,11.7,23:46,4.5
"		108",서울,2023-12-10,11.4,15.5,14:48,6.7,8:01,8.8
"		108",서울,2023-12-11,8.9,12.3,0:04,5,23:14,7.3
"		108",서울,2023-12-12,5.4,9.3,15:36,3.5,23:34,5.8
"		108",서울,2023-12-13,6.8,10.3,14:59,2.6,4:19,7.7
"		108",서울,2023-12-14,7.6,9.1,1:27,6.2,23:15,2.9
"		108",서울,2023-12-15,4.9,6.2,0:01,3.7,23:59,2.5
"		108",서울,2023-12-16,-4.1,3.8,0:01,-9.9,24:00:00,13.7
"		108",서울,2023-12-17,-9.8,-6.4,14:52,-12.4,7:58,6
"		108",서울,2023-12-18,-7.7,-3.6,13:58,-12.2,5:11,8.6
"		108",서울,2023-12-19,-3.7,0.2,14:02,-8.2,5:48,8.4
"		108",서울,2023-12-20,-7.4,-2.1,0:01,-11.9,23:59,9.8
"		108",서울,2023-12-21,-11.7,-8,15:15,-14.4,7:05,6.4
"		108",서울,2023-12-22,-11.6,-8,14:25,-14.7,7:32,6.7
"		108",서울,2023-12-23,-6.8,-0.9,15:47,-12.7,5:11,11.8
"		108",서울,2023-12-24,-2.2,3,14:40,-5.6,6:22,8.6
"		108",서울,2023-12-25,-0.7,2.1,16:04,-2.7,23:15,4.8
"		108",서울,2023-12-26,1.9,7.2,14:52,-2.6,0:01,9.8
"		108",서울,2023-12-27,1.5,6.8,15:49,-2.8,8:13,9.6
"		108",서울,2023-12-28,1.2,4.4,14:53,-1.7,6:20,6.1
"		108",서울,2023-12-29,1.3,4.6,14:38,-1.5,7:25,6.1
"		108",서울,2023-12-30,0.6,2.1,23:54,-0.9,2:37,3
"		108",서울,2023-12-31,2.1,4.3,15:50,0.6,23:43,3.7
"		",,,,,,,,
"	",,,,,,,,
"	",,,,,,,,
"	",,,,,,,,
"	",,,,,,,,
"		",,,,,,,,
"	",,,,,,,,
"	",,,,,,,,
